movie_id,title,genres,actors,directors,keywords,rating,vote_count,popularity,release_date,runtime,original_language,spoken_languages,budget,revenue,overview
19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","[{'id': 65731, 'name': 'Sam Worthington', 'character': 'Jake Sully', 'order': 0}, {'id': 8691, 'name': 'Zoe Saldana', 'character': 'Neytiri', 'order': 1}, {'id': 10205, 'name': 'Sigourney Weaver', 'character': 'Dr. Grace Augustine', 'order': 2}, {'id': 32747, 'name': 'Stephen Lang', 'character': 'Col. Quaritch', 'order': 3}, {'id': 17647, 'name': 'Michelle Rodriguez', 'character': 'Trudy Chacon', 'order': 4}]","[{'id': 2710, 'name': 'James Cameron'}]","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien']",7.2,11800,150.437577,2009-12-10,162.0,en,"['en', 'es']",237000000,2787965087,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
285,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']","[{'id': 85, 'name': 'Johnny Depp', 'character': 'Captain Jack Sparrow', 'order': 0}, {'id': 114, 'name': 'Orlando Bloom', 'character': 'Will Turner', 'order': 1}, {'id': 116, 'name': 'Keira Knightley', 'character': 'Elizabeth Swann', 'order': 2}, {'id': 1640, 'name': 'Stellan Skarsgård', 'character': 'William ""Bootstrap Bill"" Turner', 'order': 3}, {'id': 1619, 'name': 'Chow Yun-fat', 'character': 'Captain Sao Feng', 'order': 4}]","[{'id': 1704, 'name': 'Gore Verbinski'}]","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance']",6.9,4500,139.082615,2007-05-19,169.0,en,['en'],300000000,961000000,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems."
206647,Spectre,"['Action', 'Adventure', 'Crime']","[{'id': 8784, 'name': 'Daniel Craig', 'character': 'James Bond', 'order': 0}, {'id': 27319, 'name': 'Christoph Waltz', 'character': 'Blofeld', 'order': 1}, {'id': 121529, 'name': 'Léa Seydoux', 'character': 'Madeleine', 'order': 2}, {'id': 5469, 'name': 'Ralph Fiennes', 'character': 'M', 'order': 3}, {'id': 28782, 'name': 'Monica Bellucci', 'character': 'Lucia', 'order': 4}]","[{'id': 39, 'name': 'Sam Mendes'}]","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",6.3,4466,107.376788,2015-10-26,148.0,en,"['fr', 'en', 'es', 'it', 'de']",245000000,880674609,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE."
49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']","[{'id': 3894, 'name': 'Christian Bale', 'character': 'Bruce Wayne / Batman', 'order': 0}, {'id': 3895, 'name': 'Michael Caine', 'character': 'Alfred Pennyworth', 'order': 1}, {'id': 64, 'name': 'Gary Oldman', 'character': 'James Gordon', 'order': 2}, {'id': 1813, 'name': 'Anne Hathaway', 'character': 'Selina Kyle / Catwoman', 'order': 3}, {'id': 2524, 'name': 'Tom Hardy', 'character': 'Bane', 'order': 4}]","[{'id': 525, 'name': 'Christopher Nolan'}]","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up']",7.6,9106,112.31295,2012-07-16,165.0,en,['en'],250000000,1084939099,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy."
49529,John Carter,"['Action', 'Adventure', 'Science Fiction']","[{'id': 60900, 'name': 'Taylor Kitsch', 'character': 'John Carter', 'order': 0}, {'id': 21044, 'name': 'Lynn Collins', 'character': 'Dejah Thoris', 'order': 1}, {'id': 2206, 'name': 'Samantha Morton', 'character': 'Sola', 'order': 2}, {'id': 5293, 'name': 'Willem Dafoe', 'character': 'Tars Tarkas', 'order': 3}, {'id': 19159, 'name': 'Thomas Haden Church', 'character': 'Tal Hajus', 'order': 4}]","[{'id': 7, 'name': 'Andrew Stanton'}]","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs']",6.1,2124,43.926995,2012-03-07,132.0,en,['en'],260000000,284139100,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands."
559,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']","[{'id': 2219, 'name': 'Tobey Maguire', 'character': 'Peter Parker / Spider-Man', 'order': 0}, {'id': 205, 'name': 'Kirsten Dunst', 'character': 'Mary Jane Watson', 'order': 1}, {'id': 17051, 'name': 'James Franco', 'character': 'Harry Osborn / New Goblin', 'order': 2}, {'id': 19159, 'name': 'Thomas Haden Church', 'character': 'Flint Marko / Sandman', 'order': 3}, {'id': 17052, 'name': 'Topher Grace', 'character': 'Eddie Brock / Venom', 'order': 4}]","[{'id': 7623, 'name': 'Sam Raimi'}]","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand']",5.9,3576,115.699814,2007-05-01,139.0,en,"['en', 'fr']",258000000,890871626,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle."
38757,Tangled,"['Animation', 'Family']","[{'id': 69899, 'name': 'Zachary Levi', 'character': 'Flynn Rider (voice)', 'order': 0}, {'id': 16855, 'name': 'Mandy Moore', 'character': 'Rapunzel (voice)', 'order': 1}, {'id': 2517, 'name': 'Donna Murphy', 'character': 'Mother Gothel (voice)', 'order': 2}, {'id': 2372, 'name': 'Ron Perlman', 'character': 'Stabbington Brother (voice)', 'order': 3}, {'id': 22132, 'name': 'M.C. Gainey', 'character': 'Captain of the Guard (voice)', 'order': 4}]","[{'id': 76595, 'name': 'Byron Howard'}, {'id': 121830, 'name': 'Nathan Greno'}]","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness']",7.4,3330,48.681969,2010-11-24,100.0,en,['en'],260000000,591794936,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs."
99861,Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']","[{'id': 3223, 'name': 'Robert Downey Jr.', 'character': 'Tony Stark / Iron Man', 'order': 0}, {'id': 74568, 'name': 'Chris Hemsworth', 'character': 'Thor Odinson', 'order': 1}, {'id': 103, 'name': 'Mark Ruffalo', 'character': 'Bruce Banner / Hulk', 'order': 2}, {'id': 16828, 'name': 'Chris Evans', 'character': 'Steve Rogers / Captain America', 'order': 3}, {'id': 1245, 'name': 'Scarlett Johansson', 'character': 'Natasha Romanoff / Black Widow', 'order': 4}]","[{'id': 12891, 'name': 'Joss Whedon'}]","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",7.3,6767,134.279229,2015-04-22,141.0,en,['en'],280000000,1405403694,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure."
767,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']","[{'id': 10980, 'name': 'Daniel Radcliffe', 'character': 'Harry Potter', 'order': 0}, {'id': 10989, 'name': 'Rupert Grint', 'character': 'Ron Weasley', 'order': 1}, {'id': 10990, 'name': 'Emma Watson', 'character': 'Hermione Granger', 'order': 2}, {'id': 10993, 'name': 'Tom Felton', 'character': 'Draco Malfoy', 'order': 3}, {'id': 5658, 'name': 'Michael Gambon', 'character': 'Albus Dumbledore', 'order': 4}]","[{'id': 11343, 'name': 'David Yates'}]","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",7.4,5293,98.885637,2009-07-07,153.0,en,['en'],250000000,933959197,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past."
209112,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']","[{'id': 880, 'name': 'Ben Affleck', 'character': 'Bruce Wayne / Batman', 'order': 0}, {'id': 73968, 'name': 'Henry Cavill', 'character': 'Clark Kent / Superman', 'order': 1}, {'id': 90633, 'name': 'Gal Gadot', 'character': 'Diana Prince / Wonder Woman', 'order': 2}, {'id': 9273, 'name': 'Amy Adams', 'character': 'Lois Lane', 'order': 3}, {'id': 44735, 'name': 'Jesse Eisenberg', 'character': 'Lex Luthor', 'order': 4}]","[{'id': 15217, 'name': 'Zack Snyder'}]","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",5.7,7004,155.790452,2016-03-23,151.0,en,['en'],250000000,873260194,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."
