movie_id,year,genres,reviewer_num
0,1995,"Animation,Children's,Comedy",452
1,1995,"Action,Adventure,Thriller",131
2,1995,Thriller,90
3,1995,"Action,Comedy,Drama",209
4,1995,"Crime,Drama,Thriller",86
5,1995,Drama,26
6,1995,"Drama,Sci-Fi",392
7,1995,"Children's,Comedy,Drama",219
8,1995,Drama,299
9,1996,"Drama,War",89
10,1995,"Crime,Thriller",236
11,1995,"Crime,Thriller",267
12,1995,Comedy,184
13,1994,"Drama,Romance",183
14,1996,Drama,293
15,1995,"Comedy,Romance",39
16,1996,"Action,Comedy,Crime,Horror,Thriller",92
17,1995,Drama,10
18,1995,Drama,69
19,1995,"Drama,Romance",72
20,1996,"Action,Adventure,Comedy,Musical,Thriller",84
21,1996,"Action,Drama,War",297
22,1996,"Drama,Thriller",182
23,1996,"Action,Adventure,Crime",174
24,1996,Comedy,293
25,1995,Comedy,73
26,1995,Action,57
27,1995,"Action,Drama,Thriller",276
28,1995,"Action,Adventure,Comedy,Crime",114
29,1967,Drama,37
30,1995,"Drama,Thriller,War",154
31,1994,Documentary,81
32,1995,"Action,Romance,Thriller",97
33,1995,"Comedy,Drama",7
34,1995,"Adventure,Children's,Drama",11
35,1995,"Drama,Romance",13
36,1994,Drama,8
37,1995,"Sci-Fi,Thriller",120
38,1995,"Action,Crime,Sci-Fi",87
39,1995,Comedy,57
40,1995,Comedy,37
41,1994,Comedy,148
42,1994,"Drama,Thriller",40
43,1994,"Drama,Thriller",79
44,1994,"Comedy,Drama",80
45,1994,Drama,27
46,1994,"Comedy,Drama",133
47,1994,Documentary,117
48,1994,"Comedy,Romance",81
49,1977,"Action,Adventure,Romance,Sci-Fi,War",583
50,1994,"Drama,Romance,War,Western",81
51,1994,Drama,91
52,1994,"Action,Thriller",128
53,1995,"Action,Drama,Thriller",104
54,1994,"Crime,Drama,Romance,Thriller",149
55,1994,"Crime,Drama",394
56,1994,Drama,40
57,1994,Drama,175
58,1994,Drama,83
59,1993,Drama,64
60,1994,Drama,59
61,1994,"Action,Adventure,Sci-Fi",127
62,1994,"Children's,Comedy",82
63,1994,Drama,283
64,1993,"Comedy,Drama",115
65,1995,"Comedy,Romance",162
66,1994,Comedy,103
67,1994,"Action,Romance,Thriller",134
68,1994,"Comedy,Romance,War",321
69,1994,"Comedy,Romance",251
70,1994,"Animation,Children's,Musical",220
71,1994,"Comedy,Crime,Fantasy",129
72,1994,"Action,Comedy,Western",128
73,1965,"Action,Comedy,Drama",7
74,1994,Documentary,5
75,1993,"Crime,Drama",54
76,1993,"Drama,Thriller",151
77,1993,"Adventure,Children's,Drama",33
78,1993,"Action,Thriller",336
79,1993,"Action,Comedy,War",68
80,1994,"Comedy,Romance",110
81,1993,"Action,Adventure,Sci-Fi",261
82,1993,"Comedy,Romance",176
83,1994,"Horror,Sci-Fi",18
84,1994,Comedy,58
85,1993,Drama,150
86,1993,Drama,138
87,1993,"Comedy,Romance",213
88,1982,"Film-Noir,Sci-Fi",275
89,1993,"Comedy,Romance,Thriller",95
90,1993,"Children's,Comedy,Musical",143
91,1993,"Action,Crime,Romance",104
92,1996,"Comedy,Drama",112
93,1990,"Children's,Comedy",137
94,1992,"Animation,Children's,Comedy,Musical",219
95,1991,"Action,Sci-Fi,Thriller",295
96,1990,"Adventure,Drama,Western",256
97,1991,"Drama,Thriller",390
98,1937,"Animation,Children's,Musical",172
99,1997,"Crime,Drama,Thriller",508
100,1981,"Action,Adventure,Animation,Horror,Sci-Fi",73
101,1970,"Animation,Children's",54
102,1996,"Animation,Children's,Musical",15
103,1996,Comedy,5
104,1996,Comedy,74
105,1996,"Drama,Thriller",71
106,1996,Drama,42
107,1996,Comedy,65
108,1996,"Comedy,Sci-Fi",130
109,1995,"Action,Adventure,Comedy,War",31
110,1996,"Comedy,Romance",272
111,1996,"Adventure,Children's",20
112,1996,Drama,9
113,1996,Animation,67
114,1996,Documentary,15
115,1996,Comedy,125
116,1996,"Action,Adventure,Thriller",378
117,1996,"Action,Adventure,Thriller",293
118,1994,Documentary,4
119,1996,"Comedy,Crime",67
120,1996,"Action,Sci-Fi,War",429
121,1996,Comedy,106
122,1996,"Comedy,Horror",115
123,1996,"Drama,Mystery",187
124,1996,"Drama,Romance",244
125,1996,Drama,97
126,1972,"Action,Crime,Drama",413
127,1996,"Action,Thriller",65
128,1996,"Crime,Drama,Romance,Thriller",129
129,1996,Crime,23
130,1961,"Drama,Romance",95
131,1939,"Adventure,Children's,Drama,Musical",246
132,1939,"Drama,Romance,War",171
133,1941,Drama,198
134,1968,"Drama,Mystery,Sci-Fi,Thriller",259
135,1939,Drama,105
136,1996,Drama,171
137,1996,"Children's,Comedy",19
138,1969,"Children's,Comedy",50
139,1993,"Adventure,Children's",61
140,1954,"Adventure,Children's,Fantasy,Sci-Fi",72
141,1971,"Adventure,Children's,Musical",57
142,1965,Musical,222
143,1988,"Action,Thriller",243
144,1992,"Action,Sci-Fi,Thriller",65
145,1996,Drama,10
146,1996,"Action,Thriller",185
147,1996,"Action,Adventure",128
148,1996,Drama,23
