user_id,age_group,gender,favorite_genres
0,1,0,"Drama,Comedy,Action"
1,4,1,"Drama,Romance,Comedy"
2,1,0,"Drama,Thriller,Action"
3,1,0,"Thriller,Action,Drama"
4,2,1,"Comedy,Action,Sci-Fi"
5,3,0,"Drama,Comedy,Romance"
6,5,0,"Drama,Action,Comedy"
7,3,0,"Action,Sci-Fi,Drama"
8,2,0,"Drama,Romance,Comedy"
9,4,0,"Drama,Comedy,Romance"
10,3,1,"Drama,Comedy,Romance"
11,2,1,"Drama,Comedy,Action"
12,4,0,"Drama,Comedy,Action"
13,4,0,"Drama,Comedy,Romance"
14,4,1,"Drama,Romance,Comedy"
15,1,0,"Drama,Comedy,Thriller"
16,2,0,"Drama,Comedy,Adventure"
17,3,1,"Drama,Comedy,Romance"
18,3,0,"Comedy,Drama,Action"
19,3,1,"Action,Drama,Adventure"
20,2,0,"Thriller,Horror,Drama"
21,2,0,"Action,Comedy,Adventure"
22,2,1,"Drama,Comedy,Action"
23,1,1,"Drama,Comedy,Romance"
24,3,0,"Comedy,Drama,Action"
25,4,0,"Drama,Action,Comedy"
26,3,1,"Drama,Thriller,Action"
27,2,0,"Thriller,Sci-Fi,Action"
28,3,0,"Drama,Thriller,Action"
29,0,0,"Comedy,Action,Adventure"
30,1,0,"Drama,Romance,Mystery"
31,2,1,"Drama,Action,Comedy"
32,1,0,"Thriller,Action,Drama"
33,3,1,"Drama,Crime,Thriller"
34,1,1,"Thriller,Action,Drama"
35,1,1,"Drama,Comedy,Thriller"
36,1,0,"Action,Thriller,Adventure"
37,2,1,"Comedy,Children's,Action"
38,3,0,"Drama,Thriller,Comedy"
39,3,0,"Drama,Comedy,Thriller"
40,2,0,"Drama,Comedy,Romance"
41,2,0,"Drama,Comedy,Action"
42,2,1,"Comedy,Drama,Romance"
43,2,0,"Drama,Action,Comedy"
44,2,0,"Comedy,Drama,Adventure"
45,2,1,"Drama,Romance,Action"
46,4,0,"Drama,Comedy,Mystery"
47,4,0,"Drama,Comedy,Thriller"
48,1,1,"Comedy,Drama,Thriller"
49,1,0,"Drama,Romance,Crime"
50,2,0,"Adventure,Action,Drama"
51,1,1,"Drama,Comedy,Thriller"
52,2,0,"Action,Drama,Adventure"
53,1,0,"Thriller,Action,Drama"
54,3,0,"Action,Thriller,Adventure"
55,2,0,"Comedy,Action,Adventure"
56,0,0,"Comedy,Action,Drama"
57,2,0,"Drama,Comedy,Romance"
58,4,0,"Drama,Comedy,Thriller"
59,4,0,"Drama,Comedy,Action"
60,3,0,"Thriller,Drama,Action"
61,2,1,"Drama,Action,Comedy"
62,2,0,"Drama,Comedy,Romance"
63,2,0,"Drama,Action,Comedy"
64,4,1,"Drama,Comedy,Romance"
65,1,0,"Action,Drama,Thriller"
66,0,0,"Comedy,Action,Adventure"
67,1,0,"Drama,Romance,Action"
68,1,0,"Drama,Thriller,Action"
69,2,0,"Action,Comedy,Adventure"
70,3,0,"Drama,Romance,Sci-Fi"
71,4,1,"Drama,Thriller,Action"
72,1,0,"Drama,Comedy,Thriller"
73,3,0,"Drama,Thriller,Action"
74,1,0,"Comedy,Drama,Action"
75,1,0,"Drama,Romance,Sci-Fi"
76,2,0,"Drama,Action,Adventure"
77,2,0,"Comedy,Drama,Romance"
78,3,1,"Drama,Romance,Comedy"
79,2,1,"Drama,Romance,Comedy"
80,1,0,"Drama,Comedy,Thriller"
81,4,0,"Drama,Comedy,Romance"
82,3,0,"Comedy,Action,Drama"
83,2,0,"Drama,Comedy,Thriller"
84,4,0,"Drama,Comedy,Romance"
85,2,0,"Drama,Comedy,Romance"
86,4,0,"Comedy,Action,Drama"
87,4,1,"Drama,Comedy,Romance"
88,3,1,"Drama,Romance,Comedy"
89,5,0,"Drama,Comedy,Romance"
90,5,0,"Drama,Action,Thriller"
91,2,0,"Drama,Comedy,Action"
92,4,0,"Comedy,Drama,Romance"
93,2,0,"Drama,Comedy,Action"
94,2,0,"Drama,Comedy,Action"
95,2,1,"Drama,Thriller,Action"
96,3,0,"Sci-Fi,Drama,Comedy"
97,4,1,"Comedy,Romance,Drama"
98,1,0,"Drama,Thriller,Action"
99,3,0,"Drama,Thriller,Action"
100,0,0,"Action,Comedy,Adventure"
101,3,0,"Action,Comedy,Thriller"
102,2,0,"Action,Adventure,Sci-Fi"
103,2,0,"Drama,Comedy,Thriller"
104,1,0,"Drama,Thriller,Mystery"
105,5,0,"Drama,Comedy,Romance"
106,3,0,"Drama,Thriller,Mystery"
107,3,0,"Drama,Romance,Action"
108,2,0,"Action,Comedy,Drama"
109,1,0,"Action,Drama,Comedy"
110,5,0,"Drama,Thriller,Romance"
111,2,0,"Drama,Thriller,Action"
112,4,0,"Drama,Thriller,Action"
113,2,0,"Drama,Sci-Fi,Thriller"
114,2,0,"Drama,Thriller,Action"
115,3,0,"Drama,Thriller,Action"
116,1,0,"Action,Thriller,Drama"
117,1,0,"Drama,Thriller,Horror"
118,2,0,"Drama,Action,Thriller"
119,4,1,"Drama,Action,Adventure"
120,4,0,"Drama,Romance,Action"
121,2,1,"Drama,Comedy,Romance"
122,4,1,"Drama,Romance,Comedy"
123,2,0,"Action,Thriller,Drama"
124,2,0,"Comedy,Romance,Drama"
125,2,1,"Drama,Thriller,Action"
126,2,0,"Action,Sci-Fi,Adventure"
127,1,1,"Drama,Romance,Comedy"
128,3,1,"Drama,Romance,Thriller"
129,1,0,"Action,Drama,Thriller"
130,5,1,"Drama,Comedy,Romance"
131,1,0,"Drama,Crime,Comedy"
132,4,0,"Drama,Thriller,Action"
133,2,0,"Drama,Action,Thriller"
134,1,0,"Thriller,Action,Drama"
135,4,0,"Drama,Romance,War"
136,4,0,"Action,Adventure,Thriller"
137,4,0,"Drama,Comedy,Thriller"
138,1,0,"Drama,Crime,Romance"
139,2,1,"Drama,Romance,Comedy"
140,4,0,"Thriller,Drama,Comedy"
141,0,0,"Comedy,Thriller,Drama"
142,3,0,"Thriller,Drama,Action"
143,4,0,"Drama,Comedy,Action"
144,2,0,"Thriller,Drama,Action"
145,4,0,"Drama,Thriller,Comedy"
146,3,1,"Drama,Comedy,Romance"
147,2,0,"Drama,Comedy,Animation"
148,3,1,"Drama,Comedy,Thriller"
149,1,1,"Drama,Romance,Comedy"
150,3,1,"Drama,Comedy,Romance"
151,2,1,"Romance,Comedy,Drama"
152,2,0,"Drama,Action,Thriller"
153,2,0,"Drama,Sci-Fi,Comedy"
154,2,1,"Drama,Romance,Thriller"
155,2,0,"Drama,War,Action"
156,5,0,"Drama,Action,Comedy"
157,4,0,"Action,Comedy,Drama"
158,1,1,"Comedy,Drama,Action"
159,2,0,"Drama,Comedy,Thriller"
160,4,0,"Drama,Comedy,Romance"
161,2,0,"Action,Thriller,Adventure"
162,4,0,"Drama,Comedy,Thriller"
163,4,0,"Thriller,Action,Drama"
164,1,1,"Drama,Action,Thriller"
165,4,0,"Thriller,Action,Comedy"
166,3,0,"Drama,Comedy,Romance"
167,4,0,"Comedy,Action,Drama"
168,4,1,"Drama,Action,War"
169,4,1,"Thriller,Drama,Action"
170,4,1,"Drama,Romance,Thriller"
171,5,0,"Drama,Romance,Comedy"
172,5,0,"Drama,Thriller,Comedy"
173,2,1,"Drama,Comedy,Romance"
174,2,1,"Drama,Action,Thriller"
175,2,0,"Drama,Comedy,Romance"
176,1,0,"Drama,Thriller,Action"
177,2,0,"Drama,Action,Comedy"
178,0,0,"Drama,Thriller,Comedy"
179,1,1,"Drama,Romance,Comedy"
180,2,0,"Drama,Comedy,Thriller"
181,3,0,"Drama,Comedy,Sci-Fi"
182,2,0,"Action,Sci-Fi,Adventure"
183,3,0,"Drama,Comedy,Romance"
184,4,1,"Drama,Romance,Comedy"
185,3,1,"Thriller,Action,Drama"
186,2,0,"Drama,Comedy,Romance"
187,3,0,"Drama,Action,Thriller"
188,2,0,"Drama,Romance,Comedy"
189,2,0,"Thriller,Drama,Action"
190,2,0,"Drama,Thriller,Action"
191,3,0,"Drama,Comedy,Romance"
192,2,0,"Drama,Comedy,Action"
193,3,0,"Drama,Comedy,Action"
194,3,0,"Drama,Action,Thriller"
195,4,0,"Comedy,Drama,Romance"
196,5,0,"Action,Drama,Thriller"
197,1,1,"Drama,Action,Comedy"
198,2,0,"Drama,Comedy,Romance"
199,3,0,"Action,Drama,Adventure"
200,2,0,"Drama,Thriller,Action"
201,3,1,"Comedy,Sci-Fi,Drama"
202,2,1,"Drama,Action,Adventure"
203,4,1,"Drama,Comedy,Thriller"
204,4,0,"Drama,Thriller,Action"
205,0,1,"Drama,Thriller,Romance"
206,3,0,"Drama,Comedy,Action"
207,3,0,"Comedy,Romance,Drama"
208,2,1,"Drama,Comedy,Romance"
209,3,0,"Comedy,Drama,Action"
210,5,0,"Drama,Action,Adventure"
211,4,1,"Drama,War,Romance"
212,2,0,"Drama,Thriller,Action"
213,2,1,"Drama,Comedy,Romance"
214,3,0,"Drama,Action,Sci-Fi"
215,1,0,"Drama,Comedy,Action"
216,1,0,"Action,Thriller,Adventure"
217,3,0,"Comedy,Thriller,Drama"
218,2,0,"Drama,Comedy,Action"
219,2,0,"Drama,Thriller,Comedy"
220,1,0,"Action,Drama,Comedy"
221,2,0,"Drama,Action,Comedy"
222,1,1,"Comedy,Thriller,Drama"
223,2,1,"Drama,Romance,Thriller"
224,4,1,"Drama,Comedy,Romance"
225,2,0,"Drama,Thriller,Comedy"
226,4,0,"Drama,Comedy,Thriller"
227,1,1,"Drama,Romance,War"
228,2,1,"Drama,Thriller,Action"
229,2,1,"Drama,Action,Comedy"
230,4,0,"Action,Drama,Romance"
231,4,0,"Drama,Romance,Comedy"
232,3,0,"Drama,Comedy,Romance"
233,5,0,"Drama,Comedy,Romance"
234,3,0,"Drama,Comedy,Romance"
235,3,1,"Drama,Romance,Thriller"
236,4,0,"Drama,Thriller,War"
237,3,1,"Comedy,Action,Romance"
238,3,0,"Drama,Comedy,Romance"
239,1,1,"Thriller,Drama,Action"
240,2,1,"Drama,Thriller,Action"
241,2,0,"Drama,Romance,Thriller"
242,2,0,"Drama,Comedy,Romance"
243,2,0,"Drama,Comedy,Romance"
244,1,0,"Adventure,Action,Comedy"
245,1,0,"Comedy,Action,Drama"
246,2,0,"Drama,Comedy,Action"
247,2,0,"Action,Drama,Thriller"
248,2,0,"Drama,Action,Thriller"
249,2,0,"Drama,Thriller,Comedy"
250,2,0,"Action,Thriller,Drama"
251,3,0,"Drama,Romance,Thriller"
252,2,1,"Drama,Action,Thriller"
253,3,0,"Adventure,Drama,Action"
254,1,0,"Thriller,Action,Horror"
255,3,1,"Thriller,Action,Drama"
256,0,0,"Drama,Romance,Comedy"
257,1,1,"Drama,Thriller,Romance"
258,1,0,"Drama,Action,Comedy"
259,3,1,"Action,Thriller,Drama"
260,2,0,"Comedy,Thriller,Drama"
261,1,1,"Drama,Comedy,Romance"
262,3,0,"Drama,Action,Comedy"
263,3,1,"Comedy,Drama,Romance"
264,2,0,"Drama,Thriller,Action"
265,5,1,"Drama,Romance,Comedy"
266,1,0,"Action,Comedy,Drama"
267,1,0,"Comedy,Action,Thriller"
268,2,1,"Drama,Comedy,Romance"
269,1,1,"Drama,Romance,Thriller"
270,4,0,"Drama,Comedy,Romance"
271,2,0,"Drama,Action,War"
272,4,1,"Drama,Comedy,Romance"
273,1,1,"Drama,Comedy,Romance"
