movie_id,title,genres_str,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,Toy Story,"Animation,Children's,Comedy",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GoldenEye,"Action,Adventure,Thriller",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Four Rooms,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Get Shorty,"Action,Comedy,Drama",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,Copycat,"Crime,Drama,Thriller",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
5,Shanghai Triad (Yao a yao yao dao waipo qiao),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Twelve Monkeys,"Drama,Sci-Fi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,Babe,"Children's,Comedy,Drama",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Dead Man Walking,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Richard III,"Drama,War",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10,Seven (Se7en),"Crime,Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11,"Usual Suspects, The","Crime,Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,Mighty Aphrodite,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Postino, Il","Drama,Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14,Mr. Holland's Opus,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,French Twist (Gazon maudit),"Comedy,Romance",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16,From Dusk Till Dawn,"Action,Comedy,Crime,Horror,Thriller",0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
17,"White Balloon, The",Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Antonia's Line,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Angels and Insects,"Drama,Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20,Muppet Treasure Island,"Action,Adventure,Comedy,Musical,Thriller",0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
21,Braveheart,"Action,Drama,War",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22,Taxi Driver,"Drama,Thriller",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23,Rumble in the Bronx,"Action,Adventure,Crime",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,"Birdcage, The",Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Brothers McMullen, The",Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Bad Boys,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Apollo 13,"Action,Drama,Thriller",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
28,Batman Forever,"Action,Adventure,Comedy,Crime",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Belle de jour,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,Crimson Tide,"Drama,Thriller,War",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
31,Crumb,Documentary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Desperado,"Action,Romance,Thriller",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
33,"Doom Generation, The","Comedy,Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
