user_id,gender,age_group,occ_administrator,occ_artist,occ_doctor,occ_educator,occ_engineer,occ_entertainment,occ_executive,occ_healthcare,occ_homemaker,occ_lawyer,occ_librarian,occ_marketing,occ_none,occ_other,occ_programmer,occ_retired,occ_salesman,occ_scientist,occ_student,occ_technician,occ_writer,pref_unknown,pref_Action,pref_Adventure,pref_Animation,pref_Children's,pref_Comedy,pref_Crime,pref_Documentary,pref_Drama,pref_Fantasy,pref_Film-Noir,pref_Horror,pref_Musical,pref_Mystery,pref_Romance,pref_Sci-Fi,pref_Thriller,pref_War,pref_Western
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.25,0.13,0.04,0.06,0.32,0.09,0.02,0.43,0.01,0.01,0.05,0.04,0.02,0.18,0.18,0.19,0.09,0.02
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.17,0.06,0.02,0.05,0.27,0.15,0.0,0.58,0.01,0.04,0.03,0.01,0.06,0.29,0.07,0.19,0.05,0.0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.26,0.09,0.0,0.0,0.21,0.2,0.03,0.42,0.0,0.03,0.08,0.03,0.23,0.11,0.15,0.35,0.09,0.0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.3,0.13,0.0,0.0,0.19,0.18,0.05,0.26,0.0,0.0,0.04,0.05,0.19,0.12,0.22,0.41,0.09,0.0
4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.35,0.21,0.11,0.14,0.49,0.07,0.0,0.14,0.01,0.01,0.14,0.08,0.02,0.09,0.23,0.11,0.09,0.01
5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.11,0.1,0.04,0.08,0.3,0.07,0.01,0.51,0.01,0.04,0.02,0.06,0.07,0.2,0.06,0.12,0.1,0.02
6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.23,0.15,0.04,0.09,0.21,0.08,0.01,0.38,0.02,0.03,0.1,0.07,0.05,0.14,0.12,0.19,0.12,0.04
7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.71,0.29,0.0,0.02,0.11,0.17,0.0,0.32,0.0,0.02,0.02,0.0,0.01,0.12,0.33,0.3,0.21,0.06
8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.21,0.16,0.0,0.0,0.29,0.0,0.0,0.47,0.0,0.05,0.05,0.0,0.04,0.4,0.2,0.23,0.21,0.0
9,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14,0.08,0.04,0.04,0.24,0.09,0.02,0.45,0.01,0.05,0.03,0.07,0.09,0.19,0.07,0.19,0.11,0.03
